100, 5, 0.1, mnist, 100, SGD, 2000, 0.9744500098625819, 0.9658000046014785, 0, 1, 3.933381749322643, 0.4217626142284294
100, 5, 0.1, mnist, 100, SGD, 2500, 0.9827833433945974, 0.9723000049591064, 0, 1, 3.6600485245483867, 0.35305218354834034
100, 5, 0.1, mnist, 100, SGD, 3000, 0.9785833437244097, 0.9690000063180924, 0, 1, 3.4197852916216966, 0.17760982176797002
100, 5, 0.1, mnist, 100, SGD, 3500, 0.9845500100652377, 0.9732000052928924, 0, 1, 3.183160741766545, 0.39115183885623284
100, 5, 0.1, mnist, 100, SGD, 4000, 0.9890000077088674, 0.9772000074386596, 0, 1, 3.2684670611014703, 0.4610547892827054
100, 5, 0.1, mnist, 100, SGD, 4500, 0.9873333419362704, 0.9720000070333481, 0, 1, 3.044214686962375, 0.4143865692334863
100, 5, 0.1, mnist, 100, SGD, 5000, 0.9916833399732907, 0.9764000034332275, 0, 1, 3.3961441976252287, 0.281134621686005
100, 5, 0.1, mnist, 100, SGD, 5500, 0.9921000068386395, 0.9772000074386596, 0, 1, 3.467332575893368, 0.2553063403912866
100, 5, 0.1, mnist, 100, SGD, 6000, 0.9915333405137062, 0.9742000031471253, 0, 1, 3.395257543464074, 0.43764714310153946
100, 5, 0.1, mnist, 100, SGD, 6500, 0.9934333390990893, 0.977700007557869, 0, 1, 3.285682946417322, 0.38365248865598484
100, 5, 0.1, mnist, 100, SGD, 7000, 0.9950333376725514, 0.9793000060319901, 0, 1, 3.1849874571068026, 0.20394654587188774
100, 5, 0.1, mnist, 100, SGD, 7500, 0.9939166721701622, 0.9761000055074692, 0, 1, 3.013854277562692, 0.2669419338777302
100, 5, 0.1, mnist, 100, SGD, 8000, 0.9913166739543279, 0.9756000059843063, 0, 1, 3.236745183963938, 0.35286560814905527
100, 5, 0.1, mnist, 100, SGD, 8500, 0.9962500034769376, 0.9796000069379807, 0, 1, 3.3461907580625243, 0.3655586732465247
100, 5, 0.1, mnist, 100, SGD, 9000, 0.9936166723569234, 0.9737000048160553, 0, 1, 3.337760201417391, 0.29083439227454133
100, 5, 0.1, mnist, 100, SGD, 9500, 0.9962333368261655, 0.9795000088214875, 0, 1, 3.2188231625412507, 0.4179001295874937
100, 5, 0.1, mnist, 100, SGD, 10000, 0.9958333373069763, 0.9796000069379807, 0, 1, 2.869355909554413, 0.31270322949457713
100, 5, 0.1, mnist, 100, SGD, 10500, 0.9960666702191034, 0.9775000065565109, 0, 1, 3.3036237801679205, 0.5936311142235114
