0.1, mnist, 100, SGD, 0.9983833348751068, 0.9910000056028366, 0, 1, 1.6955184628875275
0.1, mnist, 100, SGD, 0.9983833348751068, 0.9910000056028366, 1, 1, nan
0.1, mnist, 200, SGD, 0.9883500105142593, 0.9836000061035156, 0, 1, 2.1029114842899412
0.1, mnist, 200, SGD, 0.9883500105142593, 0.9836000061035156, 1, 1, nan
0.05, mnist, 200, Adam, 0.11236666639645894, 0.11349999964237213, 0, 1, 1.0398667786140177
0.05, mnist, 200, Adam, 0.11236666639645894, 0.11349999964237213, 1, 1, nan
0.01, mnist, 500, Adam, 0.4218166669209798, 0.42279999852180483, 0, 1, 1.2646497724869232
0.01, mnist, 500, Adam, 0.4218166669209798, 0.42279999852180483, 1, 1, nan
0.1, cifar10, 100, SGD, 0.9537000041007996, 0.7135000014305115, 0, 1, 2.581975521893795
0.1, cifar10, 100, SGD, 0.9537000041007996, 0.7135000014305115, 1, 1, nan
0.1, cifar10, 200, SGD, 0.9852000122070312, 0.7083000016212463, 0, 1, 2.1977378085513712
0.1, cifar10, 200, SGD, 0.9852000122070312, 0.7083000016212463, 1, 1, nan
